estado_1,pobreza_profundidad_2008_11,pobreza_profundidad_2010_11,pobreza_profundidad_2012_11,pobreza_profundidad_2014_11,pobreza_profundidad_2016_11,pobreza_profundidad_2018_11,pobreza_intensidad_2008_12,pobreza_intensidad_2010_12,pobreza_intensidad_2012_12,pobreza_intensidad_2014_12,pobreza_intensidad_2016_12,pobreza_intensidad_2018_12,pobreza_extrema_profundidad_2008_13,pobreza_extrema_profundidad_2010_13,pobreza_extrema_profundidad_2012_13,pobreza_extrema_profundidad_2014_13,pobreza_extrema_profundidad_2016_13,pobreza_extrema_profundidad_2018_13,pobreza_extrema_intensidad_2008_14,pobreza_extrema_intensidad_2010_14,pobreza_extrema_intensidad_2012_14,pobreza_extrema_intensidad_2014_14,pobreza_extrema_intensidad_2016_14,pobreza_extrema_intensidad_2018_14,alkire_foster_profundidad_2008_9_15,alkire_foster_profundidad_2010_9_15,alkire_foster_profundidad_2012_9_15,alkire_foster_profundidad_2014_9_15,alkire_foster_profundidad_2016_9_15,alkire_foster_profundidad_2018_9_15,alkire_foster_intensidad_2008_9_16,alkire_foster_intensidad_2010_9_16,alkire_foster_intensidad_2012_9_16,alkire_foster_intensidad_2014_9_16,alkire_foster_intensidad_2016_9_16,alkire_foster_intensidad_2018_9_16
aguascalientes,1.97,1.94,1.85,1.72,1.71,1.61,0.12,0.12,0.12,0.1,0.08,0.07,3.52,3.44,3.37,3.36,3.31,3.19,0.02,0.02,0.02,0.01,0.01,0.01,0.66,0.66,0.65,0.64,0.64,0.63,0.25,0.25,0.25,0.22,0.18,0.17
baja_california,2.15,2.15,1.91,2.08,1.84,1.86,0.09,0.11,0.1,0.1,0.07,0.07,3.43,3.42,3.27,3.83,3.21,3.53,0.02,0.02,0.01,0.02,0.01,0.01,0.68,0.68,0.66,0.67,0.65,0.65,0.18,0.21,0.2,0.19,0.15,0.15
baja_california_sur,2.24,2.3,2.11,2.12,1.99,2.03,0.08,0.12,0.11,0.11,0.07,0.06,3.57,3.79,3.54,3.59,3.61,3.56,0.02,0.03,0.02,0.02,0.01,0.01,0.69,0.69,0.68,0.68,0.67,0.67,0.15,0.21,0.2,0.2,0.15,0.12
campeche,2.77,2.79,2.41,2.55,2.32,2.38,0.21,0.23,0.18,0.19,0.17,0.18,3.82,3.77,3.43,3.59,3.52,3.53,0.08,0.09,0.06,0.07,0.04,0.06,0.73,0.73,0.7,0.71,0.69,0.7,0.34,0.37,0.31,0.31,0.3,0.32
coahuila,1.94,1.87,1.96,1.93,1.78,1.8,0.11,0.09,0.09,0.1,0.07,0.07,3.43,3.39,3.4,3.45,3.49,3.34,0.02,0.02,0.02,0.02,0.01,0.01,0.66,0.66,0.66,0.66,0.65,0.65,0.22,0.18,0.19,0.2,0.16,0.15
colima,1.98,2.16,2.08,2.08,1.98,1.92,0.09,0.12,0.12,0.12,0.11,0.1,3.5,3.71,3.66,3.6,3.53,3.51,0.01,0.02,0.02,0.02,0.02,0.01,0.67,0.68,0.67,0.67,0.66,0.66,0.18,0.24,0.23,0.23,0.22,0.2
chiapas,3.34,3.17,2.91,2.81,2.53,2.68,0.43,0.41,0.36,0.36,0.33,0.34,3.99,3.94,3.81,3.75,3.5,3.68,0.26,0.25,0.2,0.2,0.16,0.18,0.78,0.76,0.74,0.73,0.71,0.72,0.6,0.6,0.55,0.56,0.55,0.55
chihuahua,2.58,2.1,1.86,2.07,1.87,1.87,0.14,0.14,0.11,0.12,0.1,0.08,4.23,3.69,3.47,4.07,3.75,3.53,0.05,0.04,0.02,0.04,0.02,0.02,0.71,0.67,0.66,0.67,0.66,0.66,0.23,0.26,0.23,0.23,0.2,0.17
ciudad_de_mexico,2.18,2.09,1.95,1.76,1.8,1.78,0.1,0.1,0.09,0.08,0.08,0.09,3.51,3.5,3.45,3.23,3.34,3.21,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0.67,0.66,0.65,0.65,0.65,0.19,0.19,0.19,0.18,0.18,0.2
durango,2.49,2.26,1.99,1.91,1.79,1.66,0.2,0.19,0.17,0.14,0.11,0.1,3.69,3.58,3.36,3.43,3.58,3.27,0.07,0.06,0.04,0.03,0.02,0.01,0.71,0.69,0.67,0.66,0.65,0.64,0.34,0.35,0.33,0.29,0.23,0.24
guanajuato,2.57,2.36,2.21,2.01,1.88,1.9,0.19,0.19,0.16,0.16,0.13,0.14,3.66,3.51,3.52,3.58,3.43,3.4,0.05,0.05,0.04,0.03,0.03,0.02,0.71,0.7,0.68,0.67,0.66,0.66,0.31,0.34,0.3,0.31,0.28,0.29
guerrero,3.51,3.39,3.04,2.98,2.69,2.84,0.4,0.38,0.35,0.32,0.29,0.31,4.18,4.06,3.81,3.74,3.62,3.69,0.23,0.22,0.2,0.15,0.14,0.16,0.79,0.78,0.75,0.75,0.72,0.74,0.54,0.53,0.53,0.49,0.47,0.49
hidalgo,2.83,2.61,2.27,2.32,2.23,2.11,0.26,0.24,0.2,0.21,0.19,0.15,3.8,3.66,3.51,3.49,3.46,3.41,0.1,0.08,0.06,0.07,0.05,0.03,0.74,0.72,0.69,0.69,0.69,0.68,0.41,0.39,0.36,0.38,0.35,0.3
jalisco,2.27,2.26,2.12,1.87,1.81,2.03,0.14,0.14,0.14,0.11,0.1,0.1,3.6,3.68,3.5,3.42,3.4,3.76,0.03,0.03,0.03,0.02,0.01,0.02,0.69,0.69,0.68,0.66,0.65,0.67,0.25,0.26,0.27,0.23,0.21,0.19
mexico,2.58,2.49,2.05,2.01,1.98,1.96,0.19,0.18,0.15,0.17,0.16,0.14,3.74,3.63,3.41,3.39,3.54,3.35,0.04,0.05,0.03,0.04,0.04,0.03,0.72,0.71,0.67,0.67,0.67,0.66,0.31,0.3,0.3,0.33,0.32,0.28
michoacan,3.08,2.84,2.63,2.54,2.33,2.2,0.29,0.26,0.24,0.25,0.22,0.17,4.06,3.88,3.69,3.66,3.56,3.6,0.1,0.09,0.09,0.09,0.06,0.04,0.76,0.74,0.72,0.71,0.69,0.68,0.42,0.4,0.39,0.42,0.38,0.31
morelos,2.52,2.37,2.31,2.23,2.01,2.07,0.21,0.17,0.17,0.19,0.17,0.18,3.59,3.67,3.57,3.56,3.44,3.44,0.05,0.04,0.04,0.05,0.03,0.04,0.71,0.7,0.69,0.69,0.67,0.67,0.35,0.3,0.31,0.36,0.33,0.34
nayarit,2.28,2.34,2.37,2.23,2.19,2.18,0.16,0.16,0.19,0.15,0.14,0.13,3.69,3.86,3.96,3.74,3.78,3.88,0.04,0.05,0.08,0.05,0.05,0.04,0.69,0.69,0.7,0.69,0.68,0.68,0.29,0.29,0.33,0.28,0.26,0.24
nuevo_leon,2.3,1.98,1.97,1.79,1.82,1.64,0.08,0.07,0.08,0.06,0.04,0.04,3.62,3.48,3.52,3.28,3.36,3.26,0.02,0.01,0.01,0.01,0,0,0.69,0.66,0.66,0.65,0.65,0.64,0.15,0.14,0.15,0.13,0.09,0.09
oaxaca,3.62,3.2,2.92,2.94,2.79,2.75,0.37,0.36,0.3,0.33,0.33,0.3,4.22,3.96,3.79,3.76,3.66,3.61,0.2,0.19,0.15,0.18,0.16,0.14,0.8,0.77,0.74,0.74,0.73,0.73,0.5,0.51,0.46,0.5,0.52,0.48
puebla,3.05,2.84,2.6,2.41,2.18,2.18,0.33,0.29,0.28,0.26,0.22,0.21,4.01,3.95,3.69,3.58,3.53,3.56,0.13,0.11,0.11,0.1,0.05,0.05,0.75,0.74,0.72,0.7,0.68,0.68,0.49,0.45,0.46,0.45,0.4,0.4
queretaro,2.33,2.24,2.12,2,1.88,1.88,0.14,0.15,0.13,0.11,0.1,0.09,3.77,3.55,3.56,3.57,3.48,3.45,0.03,0.04,0.03,0.02,0.02,0.01,0.69,0.69,0.68,0.67,0.66,0.66,0.24,0.28,0.25,0.23,0.2,0.18
quintana_roo,2.67,2.44,2.33,2.32,2.27,2.36,0.15,0.14,0.15,0.14,0.11,0.11,3.86,3.58,3.55,3.49,3.46,3.59,0.05,0.04,0.05,0.04,0.02,0.02,0.72,0.7,0.69,0.69,0.69,0.7,0.24,0.24,0.27,0.25,0.2,0.19
san_luis_potosi,2.83,2.63,2.42,2.21,2.11,2.04,0.24,0.23,0.2,0.18,0.16,0.15,3.89,3.77,3.67,3.58,3.48,3.44,0.1,0.1,0.08,0.06,0.04,0.04,0.74,0.72,0.7,0.68,0.68,0.67,0.37,0.38,0.35,0.34,0.31,0.29
sinaloa,2.51,2.22,2.19,2.23,2.08,2.14,0.14,0.14,0.13,0.15,0.11,0.11,3.88,3.64,3.71,3.52,3.71,3.74,0.03,0.03,0.03,0.03,0.02,0.02,0.71,0.68,0.68,0.69,0.67,0.68,0.23,0.25,0.25,0.27,0.21,0.21
sonora,2.41,2.4,2.24,2.01,2.03,1.97,0.11,0.13,0.11,0.1,0.09,0.09,3.71,3.79,3.64,3.38,3.49,3.52,0.03,0.03,0.03,0.02,0.01,0.02,0.7,0.7,0.69,0.67,0.67,0.66,0.19,0.23,0.2,0.2,0.19,0.19
tabasco,2.67,2.68,2.73,2.63,2.54,2.54,0.24,0.25,0.23,0.22,0.22,0.23,3.66,3.66,3.6,3.61,3.5,3.47,0.1,0.08,0.09,0.07,0.07,0.07,0.72,0.72,0.73,0.72,0.71,0.71,0.39,0.41,0.36,0.36,0.36,0.38
tamaulipas,2.19,2.1,2.02,1.98,1.87,1.78,0.12,0.14,0.13,0.13,0.1,0.1,3.5,3.58,3.56,3.38,3.3,3.45,0.03,0.03,0.03,0.02,0.02,0.02,0.68,0.68,0.67,0.67,0.66,0.65,0.23,0.26,0.26,0.25,0.21,0.23
tlaxcala,2.34,2.22,2.16,1.91,1.79,1.83,0.23,0.22,0.21,0.19,0.16,0.15,3.6,3.52,3.55,3.48,3.3,3.25,0.06,0.06,0.05,0.04,0.03,0.02,0.69,0.69,0.68,0.66,0.65,0.65,0.41,0.41,0.39,0.39,0.35,0.32
veracruz,3.21,2.89,2.72,2.67,2.47,2.49,0.27,0.28,0.24,0.26,0.26,0.26,4.08,3.86,3.75,3.67,3.55,3.58,0.11,0.12,0.09,0.1,0.1,0.11,0.77,0.74,0.73,0.72,0.71,0.71,0.39,0.43,0.38,0.42,0.44,0.44
yucatan,2.82,2.67,2.65,2.45,2.36,2.37,0.22,0.22,0.22,0.19,0.16,0.16,3.86,3.82,3.7,3.63,3.63,3.55,0.06,0.07,0.06,0.06,0.04,0.04,0.73,0.72,0.72,0.7,0.7,0.7,0.35,0.35,0.35,0.32,0.29,0.28
zacatecas,2.28,2.16,1.95,1.82,1.67,1.7,0.19,0.22,0.18,0.16,0.14,0.13,3.64,3.48,3.37,3.35,3.24,3.35,0.06,0.06,0.04,0.03,0.02,0.02,0.69,0.68,0.66,0.65,0.64,0.64,0.35,0.41,0.36,0.34,0.31,0.3
estados_unidos_mexicanos,2.76,2.59,2.37,2.29,2.17,2.18,0.2,0.2,0.18,0.18,0.16,0.15,3.93,3.8,3.66,3.62,3.54,3.56,0.07,0.07,0.06,0.06,0.05,0.04,0.73,0.72,0.7,0.69,0.68,0.68,0.32,0.33,0.32,0.32,0.3,0.29
